"wavenumber k","h h N=63.2","nt_h h N=63.2"
7.4619410061241283e+01,3.0267904898111372e-18,7.0878293508095531e-07
7.8361221748737520e+01,3.0267905272177924e-18,1.0543907343450361e-07
8.2290667654906770e+01,3.0267905724680996e-18,-6.7016578807755713e-07
8.6417156751380290e+01,3.0267903319063806e-18,-6.8180394557610278e-07
9.0750569825366341e+01,3.0267903693675499e-18,1.7519396545748605e-07
9.5301283138977468e+01,3.0267904074573405e-18,3.5477657638739319e-07
1.0008019327496149e+02,3.0267904461978720e-18,2.3684239755655979e-07
1.0509874322832871e+02,3.0267904828284825e-18,3.4130515036526375e-07
1.1036894980635141e+02,3.0267905248123039e-18,2.5555232081359207e-07
1.1590343240254390e+02,3.0267905633490158e-18,-6.7516035840495766e-07
1.2171544321352233e+02,3.0267903282811549e-18,-7.9509048669411578e-07
1.2781889897109747e+02,3.0267903659877586e-18,2.6539141532716538e-07
1.3422841426558219e+02,3.0267904007149957e-18,3.4446073564638987e-07
1.4095933654010608e+02,3.0267904441320028e-18,2.5569859804776005e-07
1.4802778283972978e+02,3.0267904829097144e-18,3.4323923781516681e-07
1.5545067840335412e+02,3.0267905221746913e-18,2.3949803454878133e-07
1.6324579719083189e+02,3.0267905596096418e-18,-6.8057196603746654e-07
1.7143180444232280e+02,3.0267903241858655e-18,-7.9325508614636667e-07
1.8002830137179987e+02,3.0267903619550169e-18,2.5619264909255730e-07
1.8905587210172439e+02,3.0267903961650909e-18,3.3468025847061189e-07
1.9853613295127332e+02,3.0267904387879894e-18,3.5154618018959859e-07
2.0849178419613955e+02,3.0267904786266292e-18,2.4758143071759069e-07
2.1894666442384153e+02,3.0267905190884471e-18,-6.7598194782194999e-07
2.2992580761469591e+02,3.0267902820465634e-18,-8.0127019377388216e-07
2.4145550308513162e+02,3.0267903193508796e-18,2.7246081170272720e-07
2.5356335843687896e+02,3.0267903568386831e-18,3.4012813952636177e-07
2.6627836566276329e+02,3.0267903958107275e-18,2.3779819502182382e-07
2.7963097056739326e+02,3.0267904349505679e-18,3.5183146608080934e-07
2.9365314566896876e+02,3.0267904744056379e-18,2.5277529483483868e-07
3.0837846675677122e+02,3.0267905168338110e-18,-7.3009105613182211e-07
3.2384219328765153e+02,3.0267902612045189e-18,-8.1937141313210506e-07
3.4008135281402201e+02,3.0267903145519784e-18,3.2156032748811073e-07
3.5713482964551480e+02,3.0267903482464486e-18,3.4230649902911830e-07
3.7504345795660458e+02,3.0267903904875719e-18,2.4875091914757214e-07
3.9385011956313946e+02,3.0267904306225850e-18,3.5012529770748645e-07
4.1359984660190372e+02,3.0267904697359630e-18,2.5019781818431546e-07
4.3433992935907787e+02,3.0267905102401009e-18,-6.8305984308589400e-07
4.5612002950578557e+02,3.0267902713874417e-18,-8.0704402270655834e-07
4.7899229901187192e+02,3.0267903088909184e-18,2.7544231976125485e-07
5.0301150502264505e+02,3.0267903471826928e-18,3.3863359503480641e-07
5.2823516099759945e+02,3.0267903845692832e-18,2.3815440261676011e-07
5.5472366442512691e+02,3.0267904254522585e-18,3.5539522086309157e-07
5.8254044144297177e+02,3.0267904655127434e-18,2.5651141073224197e-07
6.1175209871071991e+02,3.0267905066347512e-18,-6.8820072724678445e-07
6.4242858289797698e+02,3.0267902653744893e-18,-8.1203790990372062e-07
6.7464334817012832e+02,3.0267903041608868e-18,2.6841030619368388e-07
7.0847353207271851e+02,3.0267903408147895e-18,3.3933957040855813e-07
7.4400014023560436e+02,3.0267903816483389e-18,3.3662561616829337e-07
7.8130824033915144e+02,3.0267904193786416e-18,2.4395509027817594e-07
8.2048716580691905e+02,3.0267904613794816e-18,-6.6674712576343457e-07
8.6163072971257452e+02,3.0267902246044059e-18,-8.0132833205266451e-07
9.0483744941323130e+02,3.0267902613877500e-18,2.5179464068338851e-07
9.5021078244708929e+02,3.0267902943467365e-18,3.2102798450338882e-07
9.9785937426023008e+02,3.0267903322602644e-18,2.5859952478989467e-07
1.0478973183557439e+03,3.0267903782072433e-18,3.6169144963129960e-07
1.1004444294881080e+03,3.0267904150190518e-18,2.4313099220973180e-07
1.1556265305569761e+03,3.0267904546179064e-18,-6.6317968729996080e-07
1.2135757538873386e+03,3.0267902244027576e-18,-8.0885234302423025e-07
1.2744308576174653e+03,3.0267902506510842e-18,2.6880628697190504e-07
1.3383375579522062e+03,3.0267902997176771e-18,3.5755322490186702e-07
1.4054488780772347e+03,3.0267903311475634e-18,2.1427866408560574e-07
1.4759255145696939e+03,3.0267903706560086e-18,3.4353965270741193e-07
1.5499362221826095e+03,3.0267904104724408e-18,2.5724344926874752e-07
1.6276582179244260e+03,3.0267904507027489e-18,-6.6964636773463927e-07
1.7092776054012290e+03,3.0267902156433347e-18,-8.1165520601380984e-07
1.7949898204377291e+03,3.0267902484485487e-18,2.4162081961953993e-07
1.8850000990440374e+03,3.0267902818186901e-18,3.4188639900278935e-07
1.9795239688487675e+03,3.0267903258649540e-18,2.5761433994892376e-07
2.0787877651751951e+03,3.0267903648933604e-18,3.4850389061869394e-07
2.1830291729962000e+03,3.0267904045903480e-18,2.7193235680999897e-07
2.2924977960656993e+03,3.0267904511041358e-18,-6.6933917534034833e-07
2.4074557545893308e+03,3.0267902092614411e-18,-8.2222659358400259e-07
2.5281783128655111e+03,3.0267902462543402e-18,2.6936208351208897e-07
2.6549545383997356e+03,3.0267902836230395e-18,3.5001560234888412e-07
2.7880879940703453e+03,3.0267903250480154e-18,2.4859641872185553e-07
2.9278974650031528e+03,3.0267903642572866e-18,3.4945447325093967e-07
3.0747177218953998e+03,3.0267904047309563e-18,2.5292653724485336e-07
3.2289003226168165e+03,3.0267904445313926e-18,-6.8526858277501258e-07
3.3908144540071903e+03,3.0267902057726679e-18,-8.0491433829702601e-07
3.5608478158861199e+03,3.0267902436204307e-18,2.7765996601329000e-07
3.7394075493916898e+03,3.0267902839202217e-18,3.4630988583428578e-07
3.9269212118709552e+03,3.0267903229161696e-18,3.2630582364289976e-07
4.1238378006565817e+03,3.0267903593015176e-18,2.3384688449470252e-07
4.3306288281810739e+03,3.0267904007433946e-18,-6.7879488708719426e-07
4.5477894510028964e+03,3.0267901600166330e-18,-8.0101804144083146e-07
4.7758396554479414e+03,3.0267902012906249e-18,2.4163086203789761e-07
5.0153255027053337e+03,3.0267902264585969e-18,2.9147420726484303e-07
5.2668204363589075e+03,3.0267902652668849e-18,2.7952347185250864e-07
5.5309266554852393e+03,3.0267903151047449e-18,4.1555805160606676e-07
5.8082765566060589e+03,3.0267903629726509e-18,2.3598896270384457e-07
6.0995342479477877e+03,3.0267903894772788e-18,-7.0245193270412522e-07
6.4053971396340557e+03,3.0267901621665101e-18,-7.5877336536514075e-07
6.7265976136188656e+03,3.0267902000790789e-18,2.8921586393725013e-07
7.0639047773590546e+03,3.0267902410684661e-18,3.0437672778585934e-07
7.4181263054251340e+03,3.0267902677612111e-18,2.1032918288267385e-07
7.7901103734602784e+03,3.0267903103275778e-18,3.9224303596829272e-07
8.1807476891181777e+03,3.0267903560238360e-18,1.8200141619270822e-07
8.5909736248429108e+03,3.0267903911745103e-18,-6.2452396758957339e-07
9.0217704575976386e+03,3.0267901545059963e-18,-7.2417470762465676e-07
9.4741697209051563e+03,3.0267901921434942e-18,8.2189145939217004e-08
9.9492546748321711e+03,3.0267902308041123e-18,7.2991469177008575e-07
