"wavenumber k","h h N=63.2","nt_h h N=63.2"
2.7730290903229555e+01,1.5878637511576918e-16,7.0321603558351892e-07
2.9120834282146866e+01,1.5878637762174798e-16,1.8539198828600365e-07
3.0581106857032530e+01,1.5878638025582530e-16,-4.4243013907365200e-07
3.2114605218387865e+01,1.5878637102748795e-16,-3.6736193983289249e-07
3.3725001294246262e+01,1.5878637353920088e-16,2.4588068090461621e-07
3.5416151142523915e+01,1.5878637618845867e-16,-2.8918663748435021e-07
3.7192104184265567e+01,1.5878636684610602e-16,-5.6907058209414601e-07
3.9057112899893937e+01,1.5878636938349788e-16,-4.4144695392700984e-07
4.1015643011680410e+01,1.5878636015614018e-16,-3.9569062133182462e-07
4.3072384176818559e+01,1.5878636257602820e-16,3.0350306263741842e-07
4.5232261216705012e+01,1.5878636514289306e-16,-3.8726959607807480e-07
4.7500445909315729e+01,1.5878635579983174e-16,-4.9150763774427794e-07
4.9882369372914383e+01,1.5878635825199076e-16,3.0985923682862595e-07
5.2383735070745395e+01,1.5878636083685967e-16,-3.0757824704448352e-07
5.5010532467850972e+01,1.5878635138301817e-16,-5.8571240567194262e-07
5.7769051372713122e+01,1.5878635385906562e-16,-4.4897589646306839e-07
6.0665896998061569e+01,1.5878634453626566e-16,-4.1010517987347662e-07
6.3708005776909957e+01,1.5878634691651408e-16,2.9443473711643469e-07
6.6902661971691899e+01,1.5878634944458663e-16,-3.1720441245882951e-07
7.0257515116266902e+01,1.5878634000837179e-16,-5.8610121754897916e-07
7.3780598332560515e+01,1.5878634242717727e-16,-4.5117069089711043e-07
7.7480347565697883e+01,1.5878633313976748e-16,-4.0574917076844427e-07
8.1365621783688340e+01,1.5878633546321997e-16,2.9057667999715601e-07
8.5445724190029182e+01,1.5878633792644690e-16,-3.9657191226907829e-07
8.9730424500021300e+01,1.5878632854687141e-16,-4.9881197881780971e-07
9.4229982334137389e+01,1.5878633091923507e-16,3.0019473226488171e-07
9.8955171784456837e+01,1.5878633343287778e-16,-3.1329912112545471e-07
1.0391730721299200e+02,1.5878632396792993e-16,-5.8900286218991770e-07
1.0912827034367858e+02,1.5878632640034366e-16,-4.5241039216255775e-07
1.1460053871290174e+02,1.5878631708358373e-16,-4.0612443440090443e-07
1.2034721554668219e+02,1.5878631942695525e-16,2.9313062319717785e-07
1.2638206113606199e+02,1.5878632191136751e-16,-3.9580526204319642e-07
1.3271952578581821e+02,1.5878631252045024e-16,-4.9726298964349589e-07
1.3937478441539940e+02,1.5878631493067657e-16,3.0544061988305920e-07
1.4636377289493569e+02,1.5878631748812228e-16,-3.0973932705633543e-07
1.5370322620332871e+02,1.5878630803006201e-16,-5.8526990837916978e-07
1.6141071849978988e+02,1.5878631051569419e-16,-4.4634658895562843e-07
1.6950470520477711e+02,1.5878630122178606e-16,-4.0627064938945111e-07
1.7800456719109272e+02,1.5878630363418212e-16,2.9873474768862189e-07
1.8693065719095594e+02,1.5878630619744561e-16,-3.0981338849579448e-07
1.9630434853017201e+02,1.5878629684411396e-16,-5.7550485785525465e-07
2.0614808630608962e+02,1.5878629934123684e-16,-4.3943043259419090e-07
2.1648544113189214e+02,1.5878629015658849e-16,-3.9225983208669739e-07
2.2734116557591113e+02,1.5878629258880342e-16,3.0539944385313668e-07
2.3874125343110600e+02,1.5878629517348118e-16,-3.7912870774901096e-07
2.5071300195662835e+02,1.5878628594443201e-16,-4.7896665976769101e-07
2.6328507724050758e+02,1.5878628847383630e-16,3.2141157705724775e-07
2.7648758283996671e+02,1.5878629116042900e-16,-2.8948806673314244e-07
2.9035213186372721e+02,1.5878628189281168e-16,-5.6258066396717215e-07
3.0491192266890090e+02,1.5878628453697458e-16,-4.2483460661020736e-07
3.2020181835372432e+02,1.5878627543637881e-16,-3.7721141965331046e-07
3.3625843023647951e+02,1.5878627801496948e-16,3.2466419945653449e-07
3.5312020552048887e+02,1.5878628075419887e-16,-3.6171135263876492e-07
3.7082751935509600e+02,1.5878627163728420e-16,-4.6157795975970935e-07
3.8942277151307121e+02,1.5878627432741992e-16,3.4271467289253273e-07
4.0895048791593319e+02,1.5878627718418047e-16,-2.7016683604594773e-07
4.2945742725028680e+02,1.5878626804189801e-16,-5.4430287259867639e-07
4.5099269293046734e+02,1.5878627084706703e-16,-4.0403937283052915e-07
4.7360785067558538e+02,1.5878626189197308e-16,-3.6203655527554276e-07
4.9735705198250344e+02,1.5878626465374893e-16,3.4474896444633698e-07
5.2229716379040212e+02,1.5878626758160719e-16,-2.6164953739394314e-07
5.4848790464741387e+02,1.5878625861260104e-16,-5.2589306252961174e-07
5.7599198770536930e+02,1.5878626149421526e-16,-3.8855670887337959e-07
6.0487527088505794e+02,1.5878625271701975e-16,-3.3990422962449442e-07
6.3520691457156806e+02,1.5878625555510386e-16,3.5928346997112641e-07
6.6705954721730495e+02,1.5878625857142198e-16,-3.2315392561562553e-07
7.0050943924921933e+02,1.5878624977895888e-16,-4.2222682958751283e-07
7.3563668569666402e+02,1.5878625275303618e-16,3.7872514564372219e-07
7.7252539797717736e+02,1.5878625588454399e-16,-2.3099814651706127e-07
