"wavenumber k","h h N=63.2","nt_h h N=63.2"
1.1239521786389009e-04,5.2091027565760042e-17,-5.7929182836549605e-05
1.1803130825212323e-04,5.2090886758706920e-17,-5.3951389538899041e-05
1.2395002200697329e-04,5.2090756739750333e-17,-5.2216033050929800e-05
1.3016553135809870e-04,5.2090609904212701e-17,-5.4904981520954941e-05
1.3669271920567293e-04,5.2090473860581893e-17,-5.8518880158251625e-05
1.4354721475716081e-04,5.2090319940502277e-17,-5.7854096103310963e-05
1.5074543095111153e-04,5.2090177044459758e-17,-5.8910301826577671e-05
1.5830460375757826e-04,5.2090018289296575e-17,-6.0382824312550454e-05
1.6624283344926865e-04,5.2089870502934478e-17,-6.1132886767843844e-05
1.7457912794224893e-04,5.2089705623031068e-17,-6.2769597860611300e-05
1.8333344830998008e-04,5.2089551671815605e-17,-6.3179617034305485e-05
1.9252675657966835e-04,5.2089382726597065e-17,-6.4438356075421558e-05
2.0218106592537752e-04,5.2089224124236190e-17,-6.4923319342314597e-05
2.1231949337808899e-04,5.2089050876248776e-17,-6.6142109085920653e-05
2.2296631517892325e-04,5.2088887985423021e-17,-6.6516936139770965e-05
2.3414702490806395e-04,5.2088710919008574e-17,-6.7595613303956671e-05
2.4588839452857440e-04,5.2088544439517312e-17,-6.7871785159077689e-05
2.5821853849127246e-04,5.2088364047512578e-17,-6.8830739775971469e-05
2.7116698105416400e-04,5.2088194608321807e-17,-6.8982487100292309e-05
2.8476472697762817e-04,5.2088011513326460e-17,-6.9839612971032351e-05
2.9904433576463224e-04,5.2087839634718198e-17,-6.9873194193808996e-05
3.1403999962374468e-04,5.2087654448287344e-17,-7.0605296726989949e-05
3.2978762534162473e-04,5.2087480757778168e-17,-7.0529536708682409e-05
3.4632492026103189e-04,5.2087294049073384e-17,-7.1139133475859418e-05
3.6369148257022697e-04,5.2087119156972774e-17,-7.0920933216600695e-05
3.8192889611996195e-04,5.2086931638281883e-17,-7.1436065585262642e-05
4.0108082999509333e-04,5.2086756137909680e-17,-7.1102681853484615e-05
4.2119314307924435e-04,5.2086568368950016e-17,-7.1221752959248528e-05
4.4231399386289065e-04,5.2086392947905190e-17,-7.1295153819632285e-05
4.6449395575780462e-04,5.2086205515381021e-17,-7.3431922490783532e-05
4.8778613819397599e-04,5.2086018415595275e-17,-7.1250456593867191e-05
5.1224631378897067e-04,5.2085844396526703e-17,-7.0157624360581695e-05
5.3793305189423499e-04,5.2085658619807153e-17,-7.0489830700449192e-05
5.6490785883811729e-04,5.2085486238589822e-17,-6.9731206725394263e-05
5.9323532520141518e-04,5.2085302374731490e-17,-6.9645538548240957e-05
6.2298328047809813e-04,5.2085132271275956e-17,-6.8761927343155568e-05
6.5422295549153679e-04,5.2084950962020708e-17,-6.8586335611137348e-05
6.8702915295513860e-04,5.2084783723790591e-17,-6.7589668650110831e-05
7.2148042658579776e-04,5.2084605533620876e-17,-6.7306184153464012e-05
7.5765926919903832e-04,5.2084441701855467e-17,-6.6190174818127437e-05
7.9565231023624402e-04,5.2084267243627671e-17,-6.5790246151743823e-05
8.3555052319694584e-04,5.2084107393200997e-17,-6.4573020269963693e-05
8.7744944347286312e-04,5.2083937189481693e-17,-6.4089160801760473e-05
9.2144939710529219e-04,5.2083781849174768e-17,-6.2734454497941113e-05
9.6765574101360257e-04,5.2083616411692286e-17,-6.1992351184561614e-05
1.0161791152700579e-03,5.2083466900921826e-17,-6.0735975003055892e-05
1.0671357080250321e-03,5.2083305887212252e-17,-6.0236911053160082e-05
1.1206475337169732e-03,5.2083161023004927e-17,-5.8407562092189259e-05
1.1768427252332894e-03,5.2083007299512154e-17,-5.7570620949008181e-05
1.2358558407217235e-03,5.2082868414778453e-17,-5.6199750473072394e-05
1.2978281857868718e-03,5.2082719939092330e-17,-5.5380262188395684e-05
1.3629081518433410e-03,5.2082587250714971e-17,-5.3690420751447751e-05
1.4312515714357214e-03,5.2082445326584388e-17,-5.2792849903499776e-05
1.5030220913761795e-03,5.2082319264775530e-17,-5.1068775782548579e-05
1.5783915645931443e-03,5.2082184145141335e-17,-4.9850880064100417e-05
1.6575404616293566e-03,5.2082064985652960e-17,-4.8614707820163700e-05
1.7406583027746081e-03,5.2081936900190871e-17,-4.9521908451825778e-05
1.8279441118678966e-03,5.2081812291575307e-17,-4.6069178058708866e-05
1.9196068928556270e-03,5.2081704133760593e-17,-4.3792641703475293e-05
2.0158661302469507e-03,5.2081586902915289e-17,-4.2994257410418578e-05
2.1169523146645866e-03,5.2081486024311934e-17,-4.0983844411561755e-05
2.2231074947495415e-03,5.2081377170633999e-17,-3.9963418835851232e-05
2.3345858567412436e-03,5.2081283203233564e-17,-3.8294613493515107e-05
2.4516543331208930e-03,5.2081181117095769e-17,-3.7051608600790113e-05
2.5745932417754057e-03,5.2081095465347526e-17,-3.5128766180341902e-05
2.7036969572124150e-03,5.2081001010485662e-17,-3.3940518487884243e-05
2.8392746154335471e-03,5.2080923480473667e-17,-3.2036747462413270e-05
2.9816508541537583e-03,5.2080836642102201e-17,-3.1033349647573921e-05
3.1311665901391957e-03,5.2080766313473675e-17,-2.9258154813288386e-05
3.2881798355248772e-03,5.2080686567445412e-17,-2.8198085879049379e-05
3.4530665550668643e-03,5.2080623641297055e-17,-2.6262137808207961e-05
3.6262215663815794e-03,5.2080551606208970e-17,-2.5250756213957228e-05
3.8080594853278893e-03,5.2080496008898645e-17,-2.3620385769581895e-05
3.9990157187956479e-03,5.2080430082750125e-17,-2.2532059711301293e-05
4.1995475072778930e-03,5.2080382383882071e-17,-2.0742073645193980e-05
4.4101350197231328e-03,5.2080323170455266e-17,-1.9884828861405958e-05
4.6312825032893135e-03,5.2080281961038254e-17,-1.8101145408839559e-05
4.8635194907525256e-03,5.2080229969716981e-17,-1.7627618134073765e-05
5.1074020684615685e-03,5.2080193007866780e-17,-1.5883406758001440e-05
5.3635142078744544e-03,5.2080148206674977e-17,-1.4882832143237810e-05
5.6324691638652020e-03,5.2080117927519073e-17,-1.3623176210953406e-05
5.9149109431491159e-03,5.2080077638563595e-17,-1.3026974380712864e-05
6.2115158463426686e-03,5.2080052610389759e-17,-1.1701087650142110e-05
6.5229940873504410e-03,5.2080016904842260e-17,-1.1188072683595398e-05
6.8500914939566429e-03,5.2079996599100287e-17,-9.9649042833188948e-06
7.1935912936933223e-03,5.2079965084580705e-17,-9.5383573061698224e-06
7.5543159892614269e-03,5.2079948973379028e-17,-8.2507541555243122e-06
7.9331293279953970e-03,5.2079922095298229e-17,-7.8816175227810820e-06
8.3309383700871271e-03,5.2079909678354968e-17,-6.6164713747956492e-06
8.7486956605215983e-03,5.2079887304136976e-17,-6.3386762969199993e-06
9.1874015099248623e-03,5.2079878108580795e-17,-5.7267613880513879e-06
9.6481063897857905e-03,5.2079857211532914e-17,-5.7431301837166001e-06
1.0131913447786899e-02,5.2079849965352936e-17,-4.5793428488288725e-06
1.0639981149267180e-02,5.2079832799814691e-17,-4.3314052446490878e-06
1.1173526051141800e-02,5.2079828789754337e-17,-3.9051838510259678e-06
1.1733825714920872e-02,5.2079811760113752e-17,-3.8349194792175303e-06
1.2322221765802280e-02,5.2079810371731754e-17,-2.9421579342484505e-06
1.2940123105163693e-02,5.2079795132107122e-17,-3.5422636156652387e-06
1.3589009284145850e-02,5.2079794252315175e-17,-2.6616631045988754e-06
1.4270434046405166e-02,5.2079781459240175e-17,-2.5458072384015237e-06
1.4986029048518680e-02,5.2079781835755146e-17,1.3387254536134745e-06
