"wavenumber k","h h N=6.64","dot(h) dot(h) N=6.64","h h N=63.2","dot(h) dot(h) N=63.2"
1.5680387003676484e-04,8.0513019579969255e-16,1.1228130164971827e-16,5.5540841749695793e-16,5.5217184019653404e-115
1.6466684500623550e-04,8.3080238048684627e-16,1.3655430505204676e-16,5.5540832864822352e-16,6.7153976478037750e-115
1.7292411110739840e-04,8.5911320569926799e-16,1.6607478313683861e-16,5.5540781991607751e-16,8.1671190451398556e-115
1.8159544018197184e-04,8.9033454447597881e-16,2.0197712001938409e-16,5.5540733300149374e-16,9.9326710955738281e-115
1.9070159553633950e-04,9.2476560612458713e-16,2.4564099838541507e-16,5.5540686684422551e-16,1.2079897235624881e-114
2.0026438165882983e-04,9.6273636209966927e-16,2.9874437901507782e-16,5.5540642047328128e-16,1.4691307204173510e-114
2.1030669643008320e-04,1.0046107095493416e-15,3.6332798772206035e-16,5.5540599300449303e-16,1.7867247584264659e-114
2.2085258595152225e-04,1.0507899604996977e-15,4.4187374401495312e-16,5.5540558363305373e-16,2.1729757761396638e-114
2.3192730212321194e-04,1.1017166902884155e-15,5.3740014529270269e-16,5.5540519164191129e-16,2.6427259417184139e-114
2.4355736310897777e-04,1.1578789823431596e-15,6.5357827160576007e-16,5.5540481638145187e-16,3.2140259868978749e-114
2.5577061683356469e-04,1.2198151102291653e-15,7.9487286799427324e-16,5.5540445727776092e-16,3.9088288277110838e-114
2.6859630766387941e-04,1.2881187021285768e-15,9.6671392418834138e-16,5.5540411382531498e-16,4.7538331357199738e-114
2.8206514643398209e-04,1.3634444375955337e-15,1.1757053422119405e-15,5.5540378558364478e-16,5.7815092645344764e-114
2.9620938398150222e-04,1.4465143315204136e-15,1.4298787057179464e-15,5.5540347217236110e-16,7.0313469888297776e-114
3.1106288837155836e-04,1.5381248777731793e-15,1.7390002181576416e-15,5.5540362102142543e-16,8.5513798137722388e-114
3.2666122599309366e-04,1.6391537215653199e-15,2.1149524190567339e-15,5.5540333629331004e-16,1.0400004399246032e-113
3.4304174672181083e-04,1.7505697122211373e-15,2.5721814346604929e-15,5.5540306555966797e-16,1.2648262222847496e-113
3.6024367335362590e-04,1.8734410364995798e-15,3.1282578406953376e-15,5.5540280862480245e-16,1.5382545522659153e-113
3.7830819552278909e-04,2.0089457891288155e-15,3.8045502130061949e-15,5.5540256532740020e-16,1.8707922761372584e-113
3.9727856832955631e-04,2.1583832848336513e-15,4.6270458887409481e-15,5.5540233552321307e-16,2.2752176013723481e-113
