"wavenumber k","h h N=63.2","nt_h h N=63.2"
4.5819406796395172e-02,1.0875684718722097e-16,-2.8022985851596391e-08
4.8117034072249890e-02,1.0875684740553189e-16,1.4996108688752541e-07
5.0529876525861266e-02,1.0875684767035987e-16,9.3790979029145728e-08
5.3063711655313962e-02,1.0875684897581177e-16,-7.5959818320253963e-07
5.5724606672988689e-02,1.0875683933542162e-16,-1.0292901638584662e-06
5.8518933033368532e-02,1.0875683954752275e-16,9.3103097125846323e-08
6.1453381689346359e-02,1.0875683943432601e-16,1.1371328357513122e-07
6.4534979113564025e-02,1.0875684001128217e-16,-7.7721857313251426e-07
6.7771104123146325e-02,1.0875683144342386e-16,-9.0681415448195395e-07
7.1169505548115922e-02,1.0875683170365128e-16,1.4547175001485528e-07
7.4738320785796161e-02,1.0875683198150524e-16,1.1427300092649812e-07
7.8486095285629595e-02,1.0875683231658805e-16,-8.2320807660854964e-07
8.2421803011068370e-02,1.0875682358679391e-16,-8.4236255846665183e-07
8.6554867927531989e-02,1.0875682382046529e-16,5.2160466850232748e-08
9.0895186567884756e-02,1.0875682411264522e-16,-7.1753134073587817e-07
9.5453151729465710e-02,1.0875681550512896e-16,-9.2776296099372384e-07
1.0023967735941285e-01,1.0875681569626483e-16,1.2922913269562605e-07
1.0526622468786895e-01,1.0875681594658908e-16,1.1822848899817772e-07
1.1054482967164467e-01,1.0875681625572506e-16,-8.1229259279548407e-07
1.1608813181405188e-01,1.0875680761170694e-16,-9.2436547111579469e-07
1.2190940442991575e-01,1.0875680782040627e-16,1.4239800036288980e-07
1.2802258642823475e-01,1.0875680808874034e-16,1.4045207521140677e-07
1.3444231568859091e-01,1.0875680863403565e-16,-8.1184568654199989e-07
1.4118396411123005e-01,1.0875679974144930e-16,-9.4672556758982691e-07
1.4826367442473798e-01,1.0875679997177898e-16,1.4480938164978623e-07
1.5569839883944869e-01,1.0875680026277514e-16,1.1756679143972808e-07
1.6350593963913815e-01,1.0875680061330394e-16,-8.1674537741717073e-07
1.7170499180820062e-01,1.0875679190862218e-16,-8.1332108270329986e-07
1.8031518779637676e-01,1.0875679243053554e-16,5.9393875402998807e-08
1.8935714452822197e-01,1.0875679247780568e-16,-7.4143918436725925e-07
1.9885251276987792e-01,1.0875678390543990e-16,-9.2374228795953398e-07
2.0882402897135494e-01,1.0875678412389206e-16,1.3999063654609850e-07
2.1929556970846042e-01,1.0875678440374715e-16,1.2047832436148866e-07
2.3029220885473373e-01,1.0875678474478102e-16,-8.3135926131185691e-07
2.4184027762028346e-01,1.0875677586412497e-16,-9.1748488892417100e-07
2.5396742760129004e-01,1.0875677639552876e-16,1.7574253408658134e-07
2.6670269699114368e-01,1.0875677668425123e-16,1.3176971511983949e-07
2.8007658011175790e-01,1.0875677707737972e-16,-8.0060872926731154e-07
2.9412110043155204e-01,1.0875676854343393e-16,-9.1812354558508961e-07
3.0886988724494013e-01,1.0875676866777245e-16,1.7158107490161970e-07
3.2435825619693581e-01,1.0875676933545590e-16,1.6153179781529528e-07
3.4062329384568557e-01,1.0875676978484100e-16,-8.1362602373684454e-07
3.5770394646541559e-01,1.0875676088420853e-16,-8.3245992886514006e-07
3.7564111330242661e-01,1.0875676148408485e-16,-4.8852967637370270e-08
3.9447774450743800e-01,1.0875676033929740e-16,-8.6481488796082533e-07
4.1425894397877738e-01,1.0875675175312243e-16,-8.9696886944805670e-07
