"wavenumber k","h h N=63.2","nt_h h N=63.2"
1.6141826269207559e-04,6.6589597585649889e-16,-9.5262941499467351e-06
1.6951262770274555e-04,6.6589567207622897e-16,-1.1231243629670232e-05
1.7801288696499065e-04,6.6589525660437663e-16,-1.0677819365377687e-05
1.8693939416229865e-04,6.6589494532126238e-16,-9.9012895231589455e-06
1.9631352361944488e-04,6.6589462677084533e-16,-1.1436903807043684e-05
2.0615772148284176e-04,6.6589420208226550e-16,-1.1784604398009015e-05
2.1649555946734187e-04,6.6589386659115853e-16,-1.0300242626111481e-05
2.2735179129818969e-04,6.6589352069141086e-16,-1.0689194033488294e-05
2.3875241198327129e-04,6.6589316316628571e-16,-1.2637970328627333e-05
2.5072472005758758e-04,6.6589270052927150e-16,-1.3084225437931856e-05
2.6329738294899528e-04,6.6589231527026280e-16,-1.2040307364254469e-05
2.7650050562173079e-04,6.6589191528122182e-16,-1.3759335764886585e-05
2.9036570266208379e-04,6.6589141150859758e-16,-1.4594753840435770e-05
3.0492617397882751e-04,6.6589097829095028e-16,-1.3407092428540039e-05
3.2021678429966862e-04,6.6589052877448956e-16,-1.3983870044290622e-05
3.3627414665406916e-04,6.6589006030993038e-16,-1.5978179357037846e-05
3.5313671004233958e-04,6.6588949050592594e-16,-1.6621185549778628e-05
3.7084485150092153e-04,6.6588898994369125e-16,-1.5566780984782751e-05
3.8944097278431280e-04,6.6588846555251506e-16,-1.6307108731302138e-05
4.0896960189513385e-04,6.6588792159929641e-16,-1.8353538031944086e-05
4.2947749970544835e-04,6.6588727341514448e-16,-1.8993307988316236e-05
4.5101377192464167e-04,6.6588668784146689e-16,-1.8284078695854402e-05
4.7362998668195938e-04,6.6588608156401582e-16,-2.0152806731341844e-05
4.9738029800525639e-04,6.6588536821012598e-16,-2.1149359227657586e-05
5.2232157549162339e-04,6.6588471714666252e-16,-2.0191725033813576e-05
5.4851354048038401e-04,6.6588404399709564e-16,-2.0899674059715228e-05
5.7601890905452553e-04,6.6588334832374796e-16,-2.2964024762555707e-05
6.0490354221297748e-04,6.6588255036619211e-16,-2.3848859519376204e-05
6.3523660357332268e-04,6.6588180627097478e-16,-2.3059334635465551e-05
6.6709072498255485e-04,6.6588103851685649e-16,-2.3861695434761492e-05
7.0054218043243642e-04,6.6588024670810596e-16,-2.5948748458698549e-05
7.3567106869589036e-04,6.6587935042079517e-16,-2.6626549198705544e-05
7.7256150512174668e-04,6.6587851558055435e-16,-2.6139034472669163e-05
8.1130182304709245e-04,6.6587764584326087e-16,-2.8182480996604995e-05
8.5198478530950034e-04,6.6587667252119077e-16,-2.9293823188092628e-05
8.9470780636559865e-04,6.6587575062137495e-16,-2.8736890394925729e-05
9.3957318554784225e-04,6.6587479171648041e-16,-2.9629431663186699e-05
9.8668835201800860e-04,6.6587381492728814e-16,-3.1608462093972210e-05
1.0361661220039586e-03,6.6587273482036001e-16,-3.2594500112105089e-05
1.0881249689356088e-03,6.6587170183599231e-16,-3.1968703282160694e-05
1.1426893071269473e-03,6.6587064275678516e-16,-3.2861365476010156e-05
1.1999897896833680e-03,6.6586955591340991e-16,-3.5059197848445713e-05
1.2601636213476529e-03,6.6586836017648604e-16,-3.5918788082672089e-05
1.3233548870337033e-03,6.6586722016387059e-16,-3.5646570380507498e-05
1.3897148968346920e-03,6.6586603772547995e-16,-3.7623099320089129e-05
1.4594025483317477e-03,6.6586476392824506e-16,-3.8421794118053247e-05
1.5325847070707106e-03,6.6586354660619337e-16,-3.7776221676045181e-05
1.6094366061180046e-03,6.6586229206665890e-16,-3.8822839577759287e-05
1.6901422656523551e-03,6.6586101149346195e-16,-4.0958910627595644e-05
1.7748949335970494e-03,6.6585962691130447e-16,-4.1935424406571224e-05
1.8638975483478315e-03,6.6585829067614801e-16,-4.1275513859904559e-05
1.9573632247044193e-03,6.6585692899997109e-16,-4.2106041611483159e-05
2.0555157641691957e-03,6.6585554142960731e-16,-4.4196236602206714e-05
2.1585901908349739e-03,6.6585405215524897e-16,-4.5114794571853092e-05
2.2668333141450097e-03,6.6585261380616254e-16,-4.4378017240925485e-05
2.3805043198727722e-03,6.6585115179999417e-16,-4.5152124386136981e-05
2.4998753907365698e-03,6.6584966679642149e-16,-4.7190546210125700e-05
2.6252323581350684e-03,6.6584808033672716e-16,-4.7913382516862871e-05
2.7568753865642812e-03,6.6584654919494811e-16,-4.7315120310627221e-05
2.8951196923548352e-03,6.6584499739441883e-16,-4.9041757759862284e-05
3.0402962984505282e-03,6.6584334816626983e-16,-4.9961120929142112e-05
3.1927528270354780e-03,6.6584175496525281e-16,-4.9055436455182234e-05
3.3528543319077783e-03,6.6584014413582552e-16,-4.9618358526786288e-05
3.5209841725927751e-03,6.6583851625462456e-16,-5.1461728360948466e-05
3.6975449322890000e-03,6.6583679408372886e-16,-5.2114278650388838e-05
3.8829593818447716e-03,6.6583513299732106e-16,-5.1060863978234898e-05
4.0776714920736723e-03,6.6583345874564577e-16,-5.1506066366950297e-05
4.2821474968328778e-03,6.6583177149100972e-16,-5.3221800634787442e-05
4.4968770094098555e-03,6.6582999420994527e-16,-5.3716174487987134e-05
4.7223741948905903e-03,6.6582828411288028e-16,-5.2491625938204916e-05
4.9591790013165599e-03,6.6582656552494516e-16,-5.2778455157583188e-05
5.2078584525784071e-03,6.6582483972064488e-16,-5.4348262325668954e-05
5.4690080061421615e-03,6.6582302765832240e-16,-5.4690356753991901e-05
5.7432529788590207e-03,6.6582128909021629e-16,-5.3280393527156789e-05
6.0312500442727653e-03,6.6581954743679264e-16,-5.3402871506923446e-05
6.3336888050100886e-03,6.6581780465294995e-16,-5.4813967784157811e-05
6.6512934440188971e-03,6.6581597960618927e-16,-5.4863885193563787e-05
6.9848244586084149e-03,6.6581423471587359e-16,-5.3533291645898665e-05
7.3350804814432298e-03,6.6581249192237160e-16,-5.4564152066728040e-05
7.7029001928516161e-03,6.6581067407356633e-16,-5.4742517032709342e-05
8.0891643290270931e-03,6.6580893857311871e-16,-5.3049128621960311e-05
8.4947977909318410e-03,6.6580720979711077e-16,-5.2855833453013989e-05
8.9207718589516555e-03,6.6580548909424301e-16,-5.3965587465571763e-05
9.3681065186054565e-03,6.6580369689673816e-16,-5.3842281044178954e-05
9.8378729028781083e-03,6.6580199385922433e-16,-5.1963874619522365e-05
1.0331195857024760e-02,6.6580030262531099e-16,-5.1623523596663243e-05
1.0849256631988019e-02,6.6579862471716215e-16,-5.2585365222189628e-05
1.1393295712877310e-02,6.6579687971102582e-16,-5.2309454853195280e-05
1.1964615789283125e-02,6.6579522941903724e-16,-5.0271078079754976e-05
1.2564584874538539e-02,6.6579359556075888e-16,-4.9790457736214562e-05
1.3194639581396999e-02,6.6579197968346942e-16,-5.0635428827946391e-05
1.3856288561969904e-02,6.6579029975958287e-16,-5.0223481011441673e-05
1.4551116120160825e-02,6.6578872015857648e-16,-4.8034323957268971e-05
1.5280786005246311e-02,6.6578716077726666e-16,-4.7503454920680135e-05
1.6047045395686844e-02,6.6578562283723894e-16,-4.8178651545647484e-05
1.6851729082707205e-02,6.6578402372318051e-16,-4.7088371764656535e-05
1.7696763863663569e-02,6.6578252864410980e-16,-4.6624859594708360e-05
1.8584173155717355e-02,6.6578105714331314e-16,-4.6244516056146681e-05
1.9516081840863026e-02,6.6577952764715631e-16,-4.3276450365495152e-05
2.0494721353911186e-02,6.6577810268370055e-16,-4.4347303336967470e-05
2.1522435025610080e-02,6.6577670291914699e-16,-4.4169468499912771e-05
