"wavenumber k","h h N=67.6","nt_h h N=67.6"
4.1081837813361569e-02,4.7601038824997469e-18,3.1070041477075113e-07
4.3141898335787306e-02,4.7601038994461608e-18,-9.0547772324666397e-07
4.5305261183083152e-02,4.7601034593682512e-18,-1.1518086757393540e-06
4.7577106479914082e-02,4.7601034432728417e-18,-9.3131459683230610e-07
4.9962874109779933e-02,4.7601030316361695e-18,4.3231006049141971e-07
5.2468276740696519e-02,4.7601035999936291e-18,5.9615009322385061e-07
5.5099313504053359e-02,4.7601031957821017e-18,-2.3450687947038644e-06
5.7862284359401557e-02,4.7601025840992209e-18,-2.5978415854322175e-06
6.0763805179568142e-02,4.7601021307518334e-18,-3.3595771006241855e-07
6.3810823592217736e-02,4.7601023416942055e-18,5.4289700990127712e-07
6.7010635615793901e-02,4.7601023090557620e-18,-2.1087105545380885e-06
7.0370903129674561e-02,4.7601013241326762e-18,-2.6150638834546082e-06
7.3899672220373289e-02,4.7601012607965410e-18,-8.1900339983162590e-07
7.7605392447716151e-02,4.7601008974842521e-18,-8.5985673522915808e-07
8.1496937077126561e-02,4.7601008242266819e-18,-1.0082987107276614e-06
8.5583624326463728e-02,4.7601004115541313e-18,-1.0313018125673346e-06
8.9875239678290100e-02,4.7601003870168162e-18,-8.4991769223397847e-07
9.4382059310993541e-02,4.7600999733764519e-18,-9.0310851765232661e-07
9.9114874704870196e-02,4.7600999935231298e-18,-8.8603611515768715e-07
1.0408501848208621e-01,4.7600995785654109e-18,-8.8897160000100287e-07
1.0930439154239172e-01,4.7600995523909306e-18,2.2828474606058225e-07
1.1478549155956305e-01,4.7600996624679211e-18,-8.4840783510666839e-07
1.2054144290680731e-01,4.7600991198191819e-18,-2.1738661753620179e-06
1.2658602808278463e-01,4.7600986979582075e-18,-1.2014990234231855e-06
1.3293372071349760e-01,4.7600986813217927e-18,-6.1516527609823389e-07
1.3959972020906972e-01,4.7600982649409388e-18,1.9281327100137979e-08
1.4659998815839814e-01,4.7600987414409101e-18,-7.2919886078697051e-07
1.5395128654882634e-01,4.7600978305678339e-18,-1.9541647297975685e-06
1.6167121790235356e-01,4.7600979005675858e-18,-1.0155378906839309e-06
1.6977826742448576e-01,4.7600973984627372e-18,-1.8866596731859083e-06
1.7829184726665312e-01,4.7600969719825493e-18,-1.1293591042037350e-06
1.8723234300817840e-01,4.7600969504507904e-18,-7.4843135063853146e-07
1.9662116246909778e-01,4.7600965438779773e-18,-9.4592383796158546e-07
2.0648078697071406e-01,4.7600965411754007e-18,-8.7773305098459852e-07
2.1683482516662508e-01,4.7600961098729670e-18,-1.0304933729337533e-06
2.2770806957312445e-01,4.7600960932936714e-18,-7.6743952932232556e-07
2.3912655593433582e-01,4.7600957236668430e-18,-8.8551986947914622e-07
2.5111762556422801e-01,4.7600957036989192e-18,-8.1578447958852803e-07
2.6370999081478896e-01,4.7600953135807270e-18,-9.3680904131529790e-07
2.7693380382711991e-01,4.7600953012277245e-18,-8.4595819468671216e-07
2.9082072873007286e-01,4.7600948865639395e-18,-9.5218182581627707e-07
3.0540401745930901e-01,4.7600948914925830e-18,-8.1241010442861007e-07
3.2071858937832665e-01,4.7600944757791393e-18,-9.6890749423742336e-07
3.3680111489210668e-01,4.7600944718271403e-18,-7.8903431335753731e-07
3.5369010325358990e-01,4.7600940772715469e-18,-9.2120925337782981e-07
3.7142599477323429e-01,4.7600940758619619e-18,-7.9802383245485645e-07
3.9005125765244714e-01,4.7600936754965859e-18,-8.1887994158803503e-07
4.0961048967275787e-01,4.7600936894377379e-18,-8.5614128998167689e-07
4.3015052498422285e-01,4.7600932893312755e-18,-1.6663319311752002e-06
4.5172054624876556e-01,4.7600929053929972e-18,-9.6296924811463805e-07
4.7437220240697692e-01,4.7600929037498886e-18,-6.6612350325760716e-07
4.9815973235036537e-01,4.7600925240085475e-18,-8.7811623023285022e-07
5.2314009479518719e-01,4.7600925279548997e-18,-7.5382434860250079e-07
5.4937310466883771e-01,4.7600921456446270e-18,-8.6139560056460543e-07
5.7692157633537666e-01,4.7600921568985575e-18,-7.1917179930051227e-07
6.0585147400313843e-01,4.7600917800641867e-18,-8.4374734228675894e-07
6.3623206967457591e-01,4.7600917919193609e-18,-7.1191099913026572e-07
6.6813610901654297e-01,4.7600914176577844e-18,-8.8995074697682148e-07
7.0163998554819262e-01,4.7600914350610235e-18,-6.1571942316355723e-07
7.3682392356357240e-01,4.7600910652415197e-18,-2.6586269628725382e-07
7.7377217022693046e-01,4.7600913659872865e-18,-6.0778385008132649e-07
8.1257319730069355e-01,4.7600907162698400e-18,-9.5352117336071808e-07
8.5331991298915255e-01,4.7600909714930471e-18,-1.3777634197252937e-07
8.9610988440510941e-01,4.7600906154054499e-18,-1.2262438184429537e-06
9.4104557119218013e-01,4.7600904095658670e-18,-1.2752862046078554e-06
9.8823457086215294e-01,4.7600900492283241e-18,-6.8033532883760167e-07
1.0377898764348585e+00,4.7600900810946962e-18,-6.7288463770309612e-07
1.0898301469974669e+00,4.7600897265296183e-18,-1.4964498966412123e-06
1.1444799918310571e+00,4.7600893773194022e-18,-8.0464065008146717e-07
1.2018702687847926e+00,4.7600894118667467e-18,-5.6537718187160478e-07
1.2621383976121618e+00,4.7600890659408482e-18,-7.2250227290332999e-07
1.3254286890195446e+00,4.7600891057044722e-18,-5.4789073293944099e-08
1.3918926902150219e+00,4.7600889894737981e-18,-1.6840860608887124e-07
1.4616895477848244e+00,4.7600890308657943e-18,-1.0763568495714335e-06
1.5349863887663271e+00,4.7600884662158038e-18,-1.2818126403833456e-06
1.6119587208300570e+00,4.7600885167325757e-18,-5.2559082608759037e-07
1.6927908525289421e+00,4.7600881806415271e-18,-6.1815890308924018e-07
1.7776763346210818e+00,4.7600882356841842e-18,-5.8379496466634205e-07
1.8668184235227694e+00,4.7600879028400285e-18,-6.0094716021077071e-07
1.9604305680015031e+00,4.7600879649805472e-18,-7.8449860924339050e-08
2.0587369202743568e+00,4.7600878361960901e-18,-5.8340002791838180e-07
2.1619728727355234e+00,4.7600876996889814e-18,-9.9445078306267837e-07
2.2703856215982143e+00,4.7600873738220878e-18,-6.4596781350448770e-07
2.3842347588005497e+00,4.7600874444079264e-18,-4.3211522997767077e-07
2.5037928935927276e+00,4.7600871189331228e-18,-6.1453899488621923e-07
2.6293463052938684e+00,4.7600871942806984e-18,-4.5711108594341896e-07
2.7611956287815378e+00,4.7600868779551576e-18,-4.9650546742721108e-07
2.8996565743553333e+00,4.7600869558769496e-18,-5.4340762648945480e-07
3.0450606836982428e+00,4.7600866396408428e-18,-1.3185597453641030e-06
3.1977561237458936e+00,4.7600863335991777e-18,-6.1878916832589222e-07
3.3581085203646133e+00,4.7600864119056704e-18,-3.2701981526795198e-07
3.5265018338345051e+00,4.7600861087678239e-18,-5.8229474857490437e-07
3.7033392782338792e+00,4.7600861924880495e-18,-3.9474144667270531e-07
3.8890442869264779e+00,4.7600858955707918e-18,-5.7495692835438272e-08
4.0840615264633318e+00,4.7600861747761947e-18,7.2398309251325442e-08
4.2888579613270252e+00,4.7600858768603562e-18,-9.2743003937118828e-07
4.5039239720678470e+00,4.7600857811593820e-18,-8.6474744776946486e-07
4.7297745295092231e+00,4.7600854861802994e-18,-4.7061634342252855e-07
4.9669504278339982e+00,4.7600855852169589e-18,-4.4120468305103337e-08
5.2160195795041915e+00,4.7600854494081091e-18,-3.2262782199200439e-07
5.4775783751148754e+00,4.7600853968114715e-18,-3.4315004423292167e-07
